address,beds,baths,area,price,zestimate,best_deal,price per sq ft,detailUrl
"2146 S 1840 W, Syracuse, UT 84075",6,3.0,2714,"$535,000",558800,-23800,197.12601326455416,https://www.zillow.com/homedetails/2146-S-1840-W-Syracuse-UT-84075/68435949_zpid/
"903 E Lafayette St, Sandy, UT 84094",5,3.0,2558,"$589,000",611400,-22400,230.2580140734949,https://www.zillow.com/homedetails/903-E-Lafayette-St-Sandy-UT-84094/12922352_zpid/
"4691 W Woodcutter Ln, West Valley, UT 84120",5,2.0,2266,"$455,000",476100,-21100,200.79435127978817,https://www.zillow.com/homedetails/4691-W-Woodcutter-Ln-West-Valley-UT-84120/12745697_zpid/
"4156 W 1800 N, Lehi, UT 84043",6,3.0,2820,"$549,000",569004,-20004,194.68085106382978,https://www.zillow.com/homedetails/4156-W-1800-N-Lehi-UT-84043/306583039_zpid/
"1234 N 3200 W, West Pt, UT 84015",4,2.0,1591,"$440,000",460000,-20000,276.5556253928347,https://www.zillow.com/homedetails/1234-N-3200-W-West-Pt-UT-84015/12708823_zpid/
"316 E Garfield Ave, Salt Lake City, UT 84115",2,1.0,945,"$415,000",434500,-19500,439.15343915343914,https://www.zillow.com/homedetails/316-E-Garfield-Ave-Salt-Lake-City-UT-84115/12772671_zpid/
"1079 E 8320 S, Sandy, UT 84094",4,3.0,2120,"$425,000",443100,-18100,200.47169811320754,https://www.zillow.com/homedetails/1079-E-8320-S-Sandy-UT-84094/12883721_zpid/
"2901 S 3860 W, West Valley, UT 84120",5,2.0,1706,"$364,900",382300,-17400,213.8921453692849,https://www.zillow.com/homedetails/2901-S-3860-W-West-Valley-UT-84120/12744488_zpid/
"1286 E 900 S, Pleasant Grove, UT 84062",5,4.0,2633,"$579,000",596313,-17313,219.90125332320548,https://www.zillow.com/homedetails/1286-E-900-S-Pleasant-Grove-UT-84062/11909302_zpid/
"146 W 100 N, Spanish Fork, UT 84660",4,2.0,2170,"$370,000",387100,-17100,170.50691244239633,https://www.zillow.com/homedetails/146-W-100-N-Spanish-Fork-UT-84660/11890774_zpid/
"42 S Mustang Rdg, Grantsville, UT 84029",6,3.0,3231,"$559,900",576600,-16700,173.29000309501703,https://www.zillow.com/homedetails/42-S-Mustang-Rdg-Grantsville-UT-84029/331494150_zpid/
"7989 W Gompers Ave, Magna, UT 84044",3,2.0,2396,"$378,000",394400,-16400,157.76293823038398,https://www.zillow.com/homedetails/7989-W-Gompers-Ave-Magna-UT-84044/12725627_zpid/
"214 E 8375 S, Sandy, UT 84070",3,2.0,1160,"$360,000",375700,-15700,310.3448275862069,https://www.zillow.com/homedetails/214-E-8375-S-Sandy-UT-84070/12881648_zpid/
"996 E 430 S, Santaquin, UT 84655",6,3.0,3594,"$624,900",640037,-15137,173.87312186978298,https://www.zillow.com/homedetails/996-E-430-S-Santaquin-UT-84655/68836623_zpid/
"10822 S Wynview Ln, South Jordan, UT 84095",4,4.0,2063,"$447,900",461100,-13200,217.11100339311682,https://www.zillow.com/homedetails/10822-S-Wynview-Ln-South-Jordan-UT-84095/65730621_zpid/
"2007 E Brookings Dr, Draper, UT 84020",4,3.0,2730,"$675,000",687600,-12600,247.25274725274724,https://www.zillow.com/homedetails/2007-E-Brookings-Dr-Draper-UT-84020/117647222_zpid/
"2270 E 4500 S APT 8A, Holladay, UT 84117",2,1.0,824,"$274,900",287400,-12500,333.61650485436894,https://www.zillow.com/homedetails/2270-E-4500-S-APT-8A-Holladay-UT-84117/12852049_zpid/
"12269 S Black Canyon Rd, Herriman, UT 84096",4,3.0,2857,"$595,000",606700,-11700,208.26041302065104,https://www.zillow.com/homedetails/12269-S-Black-Canyon-Rd-Herriman-UT-84096/83817761_zpid/
"112 W 2050 S, Clearfield, UT 84015",5,3.0,2377,"$425,000",436165,-11165,178.7968026924695,https://www.zillow.com/homedetails/112-W-2050-S-Clearfield-UT-84015/12701868_zpid/
"782 Arrow St, Tooele, UT 84074",4,3.0,2131,"$399,900",411000,-11100,187.65837634913186,https://www.zillow.com/homedetails/782-Arrow-St-Tooele-UT-84074/68525572_zpid/
